match_id,name,slug,gender,user_count,residence,birthplace,height,weight,plays,turned_pro,current_prize,total_prize,player_id,current_rank,name_code,country,full_name
11701662,Bhatia R.,bhatia-riya,F,146,,,,,,,5419,85877,70970,913,BHA,India,"Bhatia, Riya"
11701666,Harris B.,harris-billy,M,1041,Isle of Man,Nottingham,1.93,86,right-handed,,89749,182385,111837,200,HAR,United Kingdom,"Harris, Billy"
11701668,Dutra Da Silva D.,dutra-da-silva-daniel,M,566,Balneário Camboriú,"Parelheiros , Brazil",1.73,76,left-handed,2007,19448,267115,48225,445,DUT,Brazil,"Dutra Da Silva, Daniel"
11701684,Mintegi Del Olmo A.,mintegi-del-olmo-ane,F,458,,,,,,,5807,28895,291202,562,MIN,Spain,"Mintegi Del Olmo, Ane"
11701689,Caruso S.,caruso-salvatore,M,1949,"Avola, Italy","Avola, Italy",1.85,80,right-handed,2010,36303,1648120,59310,288,CAR,Italy,"Caruso, Salvatore"
11701697,Lázaro García A.,lazaro-garcia-andrea,F,357,,,,,right-handed,,16638,221483,63682,463,LAZ,Spain,"Lázaro García, Andrea"
11701698,Kanev K.,kanev-kathleen,F,267,,,,,,,14945,36195,196442,402,KAN,Germany,"Kanev, Kathleen"
11701699,Jokic K.,jokic-katarina,F,262,,,,,,,8376,32781,103549,610,JOK,Serbia,"Jokic, Katarina"
11701700,Amariei I.,amariei-ilinca-dalina,F,393,,,,,,,25378,46220,257537,359,AMA,Romania,"Amariei, Ilinca Dalina"
11701701,Maristany Zuleta De Reales G.,maristany-zuleta-de-reales-guiomar,F,360,,,,,,,18081,83069,198121,326,MAR,Spain,"Maristany Zuleta De Reales, Guiomar"
11701702,Lanik T.,lanik-tomas,M,94,,,,,,,5179,10343,371081,922,LAN,Slovakia,"Lanik, Tomas"
11701703,Zahraj P.,zahraj-patrick,M,99,,,,,,,4610,16538,208222,902,ZAH,Germany,"Zahraj, Patrick"
11701706,Carnevalle L.,carnevalle-lucio,M,144,,Cordoba,1.75,,,,2425,6877,297977,1166,CAR,Argentina,"Carnevalle, Lucio"
11701707,Traversi C.,traversi-costanza,F,129,,,,,,,2187,12050,190440,1261,TRA,Italy,"Traversi, Costanza"
11701708,Vojcinakova I.,vojcinakova-ingrid,F,45,,,,,,,3827,18253,105543,1289,VOJ,Slovakia,"Vojcinakova, Ingrid"
11701710,Kupcic J.,kupcic-jan,M,72,,,,,,,2073,7116,332110,1353,KUP,Slovenia,"Kupcic, Jan"
11701711,Balus I.,balus-irina,F,93,,,,,right-handed,,5109,8835,377989,989,BAL,Slovakia,"Balus, Irina"
11701712,Fix D.,fix-david,M,124,,,,,,,2747,3557,389664,1117,FIX,Germany,"Fix, David"
11701713,Ionescu I.,ionescu-iulia-andreea,F,80,,,,,,,1555,2782,401341,1368,ION,Romania,"Ionescu, Iulia Andreea"
11701714,Agwi M.,agwi-michael,M,91,,,,,,,2619,4218,414229,1109,AGW,Ireland,"Agwi, Michael"
11701715,Bulat B.,bulat-bianca,F,63,,,,,,,1562,3123,398741,1307,BUL,Romania,"Bulat, Bianca"
11701722,Faucon  R.,faucon-romain,M,126,,,,,,,2320,10083,362196,1166,FAU,Belgium,"Faucon , Romain"
11701725,Arangio G.,arangio-gala,F,82,,,,,,,2507,8598,323271,1363,ARA,Argentina,"Arangio, Gala"
11701728,Jamshidi E.,jamshidi-elena,F,143,,,,,,,2853,12235,236920,1110,JAM,Denmark,"Jamshidi, Elena"
11701730,Chehoudi D.,chehoudi-diana,F,36,,,,,,,0,6844,209382,,CHE,Tunisia,"Chehoudi, Diana"
11701731,Brown T.,brown-thomas,M,23,,"Sumter, SC",1.8,,,,2753,5036,247197,1362,BRO,USA,"Brown, Thomas"
11701733,Maute J.,maute-jannik,M,76,,,,,,,1680,5213,399574,1191,MAU,Germany,"Maute, Jannik"
11701737,Panaras A.,panaras-adam,M,53,,,,,,,1148,1585,413166,1408,PAN,France,"Panaras, Adam"
11701738,Gulin G.,gulin-georgia,F,152,,,,,,,3759,5749,215871,951,GUL,Brazil,"Gulin, Georgia"
11701740,Orlov A.,orlov-alexander,M,72,,,,,,,1930,2763,399579,1473,ORL,Switzerland,"Orlov, Alexander"
11701742,Tessa L.,tessa-louis,M,131,"Cavalaire Sur Mer, France","Lyon, France",1.8,68,right-handed,,4038,35166,145118,951,TES,France,"Tessa, Louis"
11701745,Varul L.,varul-liisa,F,61,,,,,,,1531,3733,334272,1376,VAR,Estonia,"Varul, Liisa"
11701746,Bjork J.,bjork-june,F,82,,,,,,,1854,3394,414358,1346,BJO,Sweden,"Bjork, June"
11701747,Salazar D.,salazar-daniel,M,31,,,,,,,1696,3967,196958,1338,SAL,Colombia,"Salazar, Daniel"
11701749,Bicknell B.,bicknell-blaise,M,280,,Miami,1.91,,,,16498,27518,303122,399,BIC,Jamaica,"Bicknell, Blaise"
11701752,Wendler Filho J.,wendler-filho-jefferson,M,50,,,,,,,659,659,488404,1500,WEN,Brazil,"Wendler Filho, Jefferson"
11701761,Svajda T.,svajda-trevor,M,77,,,,,,,19727,20017,417424,1183,SVA,USA,"Svajda, Trevor"
11701779,Benamar S.,benamar-schena,F,61,,,,,,,1270,7880,138730,1155,BEN,France,"Benamar, Schena"
11701780,Curras Abasolo T.,curras-abasolo-tomas,M,84,,Tandil,1.7,,,,4640,8162,169630,1002,CUR,Spain,"Curras Abasolo, Tomas"
11701782,Podrez V.,podrez-veronika,F,235,,,,,,,8238,10036,392657,514,POD,Ukraine,"Podrez, Veronika"
11701784,Sheyngezikht L.,sheyngezikht-leonid,M,288,,Saint Petersburg,1.88,,,,4538,18005,220899,1176,SHE,Bulgaria,"Sheyngezikht, Leonid"
